benchmark,run,result
quadratic,ssa,yes
primes-between,ssa,yes
birthday,ssa,yes
orders,ssa,yes
sum-check,ssa,yes
palindrome,ssa,yes
totient,ssa,yes
relative-primes,ssa,yes
hanoi,ssa,yes
is-decreasing,ssa,yes
check-primes,ssa,yes
sum-sq-diff,ssa,yes
fitsinside,ssa,yes
fact,ssa,yes
loopfact,ssa,yes
recfact,ssa,yes
factors,ssa,yes
perfect,ssa,yes
bitshift,ssa,yes
digital-root,ssa,yes
up-arrow,ssa,yes
sum-divisors,ssa,yes
ackermann,ssa,yes
pythagorean_triple,ssa,yes
dot-product,ssa,yes
euclid,ssa,yes
binary-fmt,ssa,yes
lcm,ssa,yes
gcd,ssa,yes
catalan,ssa,yes
armstrong,ssa,yes
pascals-row,ssa,yes
collatz,ssa,yes
sum-bits,ssa,yes
rectangles-area-difference,ssa,yes
mod_inv,ssa,yes
reverse,ssa,yes
fizz-buzz,ssa,yes
bitwise-ops,ssa,yes
cholesky,ssa,yes
mat-inv,ssa,yes
dead-branch,ssa,yes
function_call,ssa,yes
ray-sphere-intersection,ssa,yes
conjugate-gradient,ssa,yes
leibniz,ssa,yes
n_root,ssa,yes
newton,ssa,yes
euler,ssa,yes
riemann,ssa,yes
mandelbrot,ssa,yes
norm,ssa,yes
cordic,ssa,yes
pow,ssa,yes
sqrt,ssa,yes
quickselect,ssa,yes
sieve,ssa,yes
bubblesort,ssa,yes
primitive-root,ssa,yes
adler32,ssa,yes
adj2csr,ssa,yes
csrmv,ssa,yes
major-elm,ssa,yes
max-subarray,ssa,yes
mat-mul,ssa,yes
fib,ssa,yes
vsmul,ssa,yes
quicksort-hoare,ssa,yes
quicksort,ssa,yes
two-sum,ssa,yes
eight-queens,ssa,yes
binary-search,ssa,yes
